Winner,Loser,Tournament,Tournament_Date,Court_Surface,Round_Description,Winner_Rank,Loser_Rank,Retirement_Ind,Winner_Sets_Won,Winner_Games_Won,Winner_Aces,Winner_DoubleFaults,Winner_FirstServes_Won,Winner_FirstServes_In,Winner_SecondServes_Won,Winner_SecondServes_In,Winner_BreakPoints_Won,Winner_BreakPoints,Winner_ReturnPoints_Won,Winner_ReturnPoints_Faced,Winner_TotalPoints_Won,Loser_Sets_Won,Loser_Games_Won,Loser_Aces,Loser_DoubleFaults,Loser_FirstServes_Won,Loser_FirstServes_In,Loser_SecondServes_Won,Loser_SecondServes_In,Loser_BreakPoints_Won,Loser_BreakPoints,Loser_ReturnPoints_Won,Loser_ReturnPoints_Faced,Loser_TotalPoints_Won
fernando verdasco,steve darcis,Barcelona,23-Apr-12,Clay,Second Round,20,66,0,2,12,1,2,25,32,8,13,4,10,25,52,58,0,4,1,2,20,31,7,21,0,1,12,45,39
janko tipsarevic,victor hanescu,Barcelona,23-Apr-12,Clay,Second Round,8,102,0,2,13,6,4,28,36,16,33,4,8,33,73,77,0,9,0,3,35,56,5,17,2,9,25,69,65
david ferrer,albert montanes,Barcelona,23-Apr-12,Clay,Third Round,6,69,0,2,12,3,1,20,30,16,24,5,8,31,56,67,0,2,0,2,20,40,5,16,0,4,18,54,43
kei nishikori,albert ramos-vinolas,Barcelona,23-Apr-12,Clay,Third Round,17,43,0,2,13,3,5,34,46,16,30,2,11,37,88,87,0,9,6,4,34,52,17,36,1,7,26,76,77
janko tipsarevic,frederico gil,Barcelona,23-Apr-12,Clay,Third Round,8,117,0,2,12,9,2,18,22,18,26,4,6,21,44,57,0,4,0,1,17,26,6,18,0,1,12,48,35
feliciano lopez,jarkko nieminen,Barcelona,23-Apr-12,Clay,Third Round,16,47,0,2,12,8,1,22,31,16,24,4,11,26,54,64,0,4,4,1,19,33,9,21,0,7,17,55,45
fernando verdasco,kevin anderson,Barcelona,23-Apr-12,Clay,Third Round,20,32,0,2,12,5,1,35,44,10,18,2,12,28,73,73,0,8,4,1,31,46,14,27,0,4,17,62,62
milos raonic,nicolas almagro,Barcelona,23-Apr-12,Clay,Third Round,25,13,0,2,12,7,0,24,31,13,17,3,3,22,49,59,0,6,2,1,17,29,10,20,0,2,11,48,38
rafael nadal,robert farah,Barcelona,23-Apr-12,Clay,Third Round,2,246,0,2,12,2,0,19,25,11,17,5,10,30,55,60,0,5,3,2,16,31,9,24,1,2,12,42,37
andy murray,santiago giraldo,Barcelona,23-Apr-12,Clay,Third Round,4,54,0,2,12,9,3,25,31,8,19,5,9,28,50,61,0,3,1,3,19,35,3,15,1,4,17,50,39
milos raonic,andy murray,Barcelona,23-Apr-12,Clay,Quarter-finals,25,4,0,2,13,14,1,38,45,13,24,2,5,25,71,76,0,10,3,1,33,45,13,26,1,4,18,69,64
david ferrer,feliciano lopez,Barcelona,23-Apr-12,Clay,Quarter-finals,6,16,0,2,19,7,1,55,64,22,35,1,10,46,128,123,1,16,2,1,51,82,31,46,0,2,22,99,104
rafael nadal,janko tipsarevic,Barcelona,23-Apr-12,Clay,Quarter-finals,2,8,0,2,12,3,1,25,33,7,15,5,7,28,51,60,0,4,3,4,19,30,4,21,1,5,16,48,39
fernando verdasco,kei nishikori,Barcelona,23-Apr-12,Clay,Quarter-finals,20,17,1,1,4,2,0,10,13,2,3,1,1,7,17,19,0,2,0,1,8,8,2,9,0,0,4,16,14
rafael nadal,fernando verdasco,Barcelona,23-Apr-12,Clay,Semi-finals,2,20,0,2,12,2,1,29,35,7,15,4,8,25,50,61,0,4,0,2,20,38,5,12,0,4,14,50,39
david ferrer,milos raonic,Barcelona,23-Apr-12,Clay,Semi-finals,6,25,0,2,14,0,2,47,62,14,21,0,7,34,97,95,0,12,15,5,40,57,23,40,0,4,22,83,85
rafael nadal,david ferrer,Barcelona,23-Apr-12,Clay,Finals,2,6,0,2,14,4,3,36,58,18,33,4,10,44,93,98,0,11,0,2,38,70,11,23,3,15,37,91,86
matthias bachinger,alejandro falla,Munich,30-Apr-12,Clay,First Round,103,55,0,2,13,5,0,29,32,17,23,2,5,25,67,71,0,8,4,1,28,42,14,25,0,0,9,55,51
sergiy stakhovsky,cedrik-marcel stebe,Munich,30-Apr-12,Clay,First Round,68,91,0,2,13,5,1,29,36,19,30,2,7,36,80,84,0,9,1,1,28,49,16,31,0,2,18,66,62
dustin brown,daniel brands,Munich,30-Apr-12,Clay,First Round,159,105,0,2,12,9,4,33,43,11,20,2,5,16,49,60,0,7,8,1,23,30,10,19,0,8,19,63,52
potito starace,david goffin,Munich,30-Apr-12,Clay,First Round,77,108,0,2,13,3,0,39,54,12,17,1,6,30,79,81,0,9,2,3,29,45,20,34,0,4,20,71,69
tommy haas,michael berrer,Munich,30-Apr-12,Clay,First Round,134,112,0,2,12,6,0,17,17,11,14,5,9,25,41,53,0,2,0,4,14,27,2,14,0,0,3,31,19
marinko matosevic,mikhail kukushkin,Munich,30-Apr-12,Clay,First Round,122,54,0,2,13,2,2,27,42,12,20,5,7,23,47,62,0,6,0,2,13,24,11,23,2,7,23,62,47
robert farah,nikolay davydenko,Munich,30-Apr-12,Clay,First Round,210,56,0,2,12,3,1,29,40,11,19,4,6,27,55,67,0,5,0,3,23,39,5,16,0,3,19,59,47
bernard tomic,olivier rochus,Munich,30-Apr-12,Clay,First Round,33,66,0,2,12,9,2,26,37,13,22,3,4,25,56,64,0,7,0,3,28,37,3,19,1,3,20,59,51
mikhail youzhny,philipp petzschner,Munich,30-Apr-12,Clay,First Round,36,93,0,2,14,4,3,34,46,14,30,5,6,31,69,79,0,10,7,3,27,44,11,25,3,6,28,76,66
santiago giraldo,steve darcis,Munich,30-Apr-12,Clay,First Round,53,67,0,2,12,4,1,37,49,10,19,2,3,14,44,61,0,7,2,2,27,33,3,11,0,3,21,68,51
marcos baghdatis,tobias kamke,Munich,30-Apr-12,Clay,First Round,39,81,0,2,15,4,4,42,57,16,31,4,9,38,83,96,1,10,1,5,37,55,8,28,2,8,30,88,75
ernests gulbis,xavier malisse,Munich,30-Apr-12,Clay,First Round,84,64,0,2,12,6,1,28,35,12,22,3,8,28,63,68,0,6,2,2,22,35,13,28,0,3,17,57,52
marcos baghdatis,dustin brown,Munich,30-Apr-12,Clay,Second Round,39,159,0,2,13,5,2,27,48,27,35,2,7,32,88,86,1,14,5,2,33,47,23,41,3,4,29,83,85
philipp kohlschreiber,ernests gulbis,Munich,30-Apr-12,Clay,Second Round,34,84,0,2,13,6,0,31,37,14,19,2,7,27,72,72,0,8,8,2,27,37,18,35,0,1,11,56,56
tommy haas,jo-wilfried tsonga,Munich,30-Apr-12,Clay,Second Round,134,5,0,2,12,4,3,29,35,8,15,3,4,21,46,58,0,5,3,1,21,32,4,14,0,0,13,50,38
marin cilic,matthias bachinger,Munich,30-Apr-12,Clay,Second Round,24,103,0,2,12,5,2,25,31,8,15,4,7,26,56,59,0,5,4,2,19,32,11,24,0,0,13,46,43
bernard tomic,potito starace,Munich,30-Apr-12,Clay,Second Round,33,77,0,2,18,6,1,48,69,17,33,5,8,46,101,111,1,11,4,1,36,65,19,36,2,6,37,102,92
marinko matosevic,robert farah,Munich,30-Apr-12,Clay,Second Round,122,210,0,2,18,4,3,48,69,18,35,5,14,39,90,105,1,10,7,5,34,57,17,33,1,6,38,104,89
mikhail youzhny,santiago giraldo,Munich,30-Apr-12,Clay,Second Round,36,53,0,2,18,13,0,55,75,19,33,2,4,34,106,108,1,15,5,0,60,83,12,23,0,5,34,108,106
feliciano lopez,sergiy stakhovsky,Munich,30-Apr-12,Clay,Second Round,16,68,0,2,13,6,0,34,45,16,22,1,3,25,76,75,0,10,6,3,34,48,17,28,0,1,17,67,68
feliciano lopez,bernard tomic,Munich,30-Apr-12,Clay,Quarter-finals,16,33,0,2,12,14,1,30,33,6,11,3,7,23,53,59,0,6,3,0,23,35,7,18,0,0,8,44,38
tommy haas,marcos baghdatis,Munich,30-Apr-12,Clay,Quarter-finals,134,39,0,2,13,6,1,34,46,16,27,2,2,23,56,73,0,7,5,3,24,35,9,21,0,3,23,73,56
philipp kohlschreiber,marinko matosevic,Munich,30-Apr-12,Clay,Quarter-finals,34,122,0,2,13,6,2,30,41,14,22,4,10,36,76,80,0,6,3,2,26,51,14,25,1,3,19,63,59
marin cilic,mikhail youzhny,Munich,30-Apr-12,Clay,Quarter-finals,24,36,0,2,18,11,1,55,71,24,48,3,5,34,93,113,1,13,3,1,44,64,15,29,1,8,40,119,99
philipp kohlschreiber,feliciano lopez,Munich,30-Apr-12,Clay,Semi-finals,34,16,0,2,18,12,5,49,66,22,35,3,13,36,100,107,1,13,12,3,45,62,19,38,0,5,30,101,94
marin cilic,tommy haas,Munich,30-Apr-12,Clay,Semi-finals,24,134,0,2,12,6,0,25,28,15,17,2,6,25,60,65,0,7,2,2,23,38,12,22,0,0,5,45,40
philipp kohlschreiber,marin cilic,Munich,30-Apr-12,Clay,Finals,34,24,0,2,13,4,2,45,61,13,21,2,2,24,67,82,0,9,3,2,18,25,25,42,1,8,24,82,67
bobby reynolds,attila balazs,Estoril,30-Apr-12,Clay,First Round,133,259,0,2,12,2,2,34,46,13,23,2,5,27,65,74,0,7,2,1,32,46,6,19,0,3,22,69,60
ivan navarro,daniel gimeno-traver,Estoril,30-Apr-12,Clay,First Round,232,107,0,2,13,0,3,35,40,9,25,4,4,24,58,68,0,8,0,0,16,32,18,26,2,8,21,65,55
flavio cipolla,diego junqueira,Estoril,30-Apr-12,Clay,First Round,70,144,0,2,12,0,2,22,34,7,16,7,11,39,67,68,0,5,0,1,19,48,9,19,3,7,21,50,49
paolo lorenzi,edouard roger-vasselin,Estoril,30-Apr-12,Clay,First Round,82,83,0,2,16,3,1,52,70,18,38,2,3,31,94,101,1,16,5,2,49,64,14,30,2,7,38,108,101
bjorn phau,frederico gil,Estoril,30-Apr-12,Clay,First Round,87,109,0,2,12,4,3,21,27,13,25,5,7,30,60,64,0,6,0,6,23,34,7,26,2,4,18,52,48
joao sousa,gastao elias,Estoril,30-Apr-12,Clay,First Round,140,196,0,2,17,1,4,34,45,21,36,5,14,43,105,98,1,13,3,7,40,58,22,47,3,4,26,81,88
inigo cervantes,igor andreev,Estoril,30-Apr-12,Clay,First Round,188,78,0,2,15,2,2,29,44,20,34,4,5,27,75,76,1,13,4,1,33,46,15,29,3,5,29,78,77
daniel munoz de la nava,javier marti,Estoril,30-Apr-12,Clay,First Round,148,174,0,2,13,1,5,23,35,17,32,5,6,27,53,67,0,8,1,3,21,35,5,18,3,7,27,67,53
albert montanes,matthew ebden,Estoril,30-Apr-12,Clay,First Round,69,72,0,2,12,1,2,22,30,9,16,5,13,33,63,64,0,5,2,5,22,40,8,23,1,1,15,46,45
denis istomin,paul-henri mathieu,Estoril,30-Apr-12,Clay,First Round,45,273,0,2,13,10,1,33,45,11,19,4,7,23,52,67,0,6,2,3,14,21,15,31,1,2,20,64,49
rui machado,pedro sousa,Estoril,30-Apr-12,Clay,First Round,90,244,0,2,18,2,8,44,65,16,33,6,11,44,91,104,1,10,3,3,37,67,10,24,2,4,38,98,85
robin haase,simone bolelli,Estoril,30-Apr-12,Clay,First Round,43,98,0,2,12,4,1,27,42,9,12,4,9,28,59,64,0,5,3,3,21,33,10,26,1,4,18,54,49
albert ramos-vinolas,bjorn phau,Estoril,30-Apr-12,Clay,Second Round,42,87,0,2,13,5,0,19,29,17,27,5,9,30,59,66,0,5,2,3,19,30,10,29,1,2,20,56,49
albert montanes,bobby reynolds,Estoril,30-Apr-12,Clay,Second Round,69,133,0,2,16,5,3,41,58,21,36,3,7,34,95,96,1,13,1,0,40,63,21,32,1,7,32,94,93
joao sousa,denis istomin,Estoril,30-Apr-12,Clay,Second Round,140,45,1,2,13,0,1,35,59,19,44,6,10,35,66,89,1,11,3,5,21,37,10,29,5,14,49,103,80
daniel munoz de la nava,flavio cipolla,Estoril,30-Apr-12,Clay,Second Round,148,70,0,2,12,0,3,32,47,9,24,6,22,44,82,85,0,8,1,5,29,61,9,21,4,13,30,71,68
robin haase,inigo cervantes,Estoril,30-Apr-12,Clay,Second Round,43,188,0,2,17,3,0,36,49,18,32,5,8,41,97,95,1,13,6,1,30,52,26,45,3,5,27,81,83
stan wawrinka,ivan navarro,Estoril,30-Apr-12,Clay,Second Round,22,232,0,2,13,6,5,34,46,12,22,3,6,27,59,73,0,7,2,3,21,31,11,28,1,4,22,68,54
richard gasquet,paolo lorenzi,Estoril,30-Apr-12,Clay,Second Round,18,82,0,2,12,3,1,19,22,10,19,5,6,25,41,54,0,2,0,0,13,25,3,16,0,1,12,41,28
juan martin del potro,rui machado,Estoril,30-Apr-12,Clay,Second Round,12,90,0,2,12,4,1,22,25,9,18,5,6,24,36,55,0,1,0,4,12,26,0,10,0,2,12,43,24
juan martin del potro,albert montanes,Estoril,30-Apr-12,Clay,Quarter-finals,12,69,0,2,12,5,2,18,27,11,17,6,10,36,62,65,0,4,0,4,18,40,8,22,2,3,15,44,41
richard gasquet,daniel munoz de la nava,Estoril,30-Apr-12,Clay,Quarter-finals,18,148,0,2,13,2,1,32,41,13,23,3,5,30,69,75,0,8,1,0,20,34,19,35,1,3,19,64,58
albert ramos-vinolas,joao sousa,Estoril,30-Apr-12,Clay,Quarter-finals,42,140,0,2,12,1,1,20,26,14,24,4,8,24,56,58,0,5,0,4,18,32,14,24,0,3,16,50,48
stan wawrinka,robin haase,Estoril,30-Apr-12,Clay,Quarter-finals,22,43,0,2,12,5,2,21,27,17,28,4,5,20,41,58,0,5,1,1,12,19,9,22,1,6,17,55,38
richard gasquet,albert ramos-vinolas,Estoril,30-Apr-12,Clay,Semi-finals,18,42,0,2,16,5,2,54,74,16,38,3,8,44,110,114,1,17,5,3,40,62,26,48,4,10,42,112,108
juan martin del potro,stan wawrinka,Estoril,30-Apr-12,Clay,Semi-finals,12,22,0,2,13,5,0,35,45,15,20,1,7,22,67,72,0,10,3,1,28,44,17,23,0,0,15,65,60
juan martin del potro,richard gasquet,Estoril,30-Apr-12,Clay,Finals,12,18,0,2,12,6,2,24,31,12,15,3,8,30,67,66,0,6,1,1,23,41,14,26,0,0,10,46,47
ivan dodig,adrian ungur,Belgrade,30-Apr-12,Clay,First Round,74,95,0,2,18,8,3,33,42,26,51,6,14,46,105,105,1,13,2,5,39,62,20,43,3,8,34,93,93
antonio veic,blaz kavcic,Belgrade,30-Apr-12,Clay,First Round,127,102,0,2,12,0,1,20,22,8,17,6,12,33,56,61,0,2,1,5,15,35,8,21,1,2,11,39,34
victor hanescu,carlos gomez-herrera,Belgrade,30-Apr-12,Clay,First Round,104,.,0,2,17,3,0,54,74,12,23,4,11,36,89,102,1,12,5,6,38,61,15,28,1,10,31,97,84
eduardo schwank,dudi sela,Belgrade,30-Apr-12,Clay,First Round,179,63,0,2,13,2,3,31,49,17,32,5,7,34,73,82,0,8,2,6,31,41,8,32,3,13,33,81,72
dusan lajovic,evgeny donskoy,Belgrade,30-Apr-12,Clay,First Round,191,146,0,2,13,3,2,29,35,17,24,2,7,27,73,73,0,9,5,1,27,41,19,32,0,0,13,59,59
benoit paire,fabio fognini,Belgrade,30-Apr-12,Clay,First Round,96,48,0,2,12,11,3,28,35,12,25,4,6,22,43,62,0,5,0,3,17,29,4,14,1,2,20,60,41
guillermo garcia-lopez,igor kunitsyn,Belgrade,30-Apr-12,Clay,First Round,75,88,0,2,19,11,9,55,70,21,45,3,10,37,106,113,1,15,7,7,46,60,23,46,1,4,39,115,108
gilles muller,lukas lacko,Belgrade,30-Apr-12,Clay,First Round,62,65,0,2,16,11,5,32,36,22,41,4,6,27,67,81,1,9,8,4,28,40,12,27,1,3,23,77,63
lukas rosol,lukasz kubot,Belgrade,30-Apr-12,Clay,First Round,79,50,0,2,13,3,2,27,28,13,17,3,12,31,74,71,0,7,3,2,26,49,17,25,0,0,5,45,48
filippo volandri,marko djokovic,Belgrade,30-Apr-12,Clay,First Round,73,.,0,2,12,1,1,29,38,6,11,4,8,24,49,59,0,4,0,2,13,23,12,26,0,0,14,49,39
aljaz bedene,martin klizan,Belgrade,30-Apr-12,Clay,First Round,156,101,0,2,13,11,5,33,42,21,41,2,4,27,70,81,0,10,1,0,30,45,13,25,1,4,29,83,72
joao souza,ryan harrison,Belgrade,30-Apr-12,Clay,First Round,116,58,0,2,12,1,2,28,33,9,19,3,8,28,64,65,0,6,2,4,28,43,8,21,0,0,15,52,51
david nalbandian,aljaz bedene,Belgrade,30-Apr-12,Clay,Second Round,49,156,0,2,12,3,2,20,26,15,24,4,9,28,61,63,0,7,5,4,23,37,10,24,1,1,15,50,48
jarkko nieminen,antonio veic,Belgrade,30-Apr-12,Clay,Second Round,44,127,0,2,16,1,1,42,57,12,29,5,10,37,86,91,1,12,2,5,34,49,15,37,3,9,32,86,81
joao souza,dusan lajovic,Belgrade,30-Apr-12,Clay,Second Round,116,191,1,1,4,1,0,7,13,3,3,2,3,8,14,18,0,2,1,1,4,7,2,7,1,1,6,16,12
gilles muller,eduardo schwank,Belgrade,30-Apr-12,Clay,Second Round,62,179,0,2,13,8,3,30,35,20,39,2,2,15,50,65,0,9,4,1,26,36,9,14,1,4,24,74,59
pablo andujar,filippo volandri,Belgrade,30-Apr-12,Clay,Second Round,38,73,0,2,17,1,8,39,63,27,54,6,12,41,90,107,1,13,0,2,38,64,11,26,4,14,51,117,100
benoit paire,guillermo garcia-lopez,Belgrade,30-Apr-12,Clay,Second Round,96,75,0,2,18,9,5,36,49,30,59,4,11,42,108,108,1,16,3,2,42,67,24,41,3,9,42,108,108
andreas seppi,ivan dodig,Belgrade,30-Apr-12,Clay,Second Round,46,74,0,2,12,0,1,26,44,13,23,5,7,33,63,72,0,6,6,6,23,35,7,28,2,7,28,67,58
lukas rosol,victor hanescu,Belgrade,30-Apr-12,Clay,Second Round,79,104,0,2,13,5,5,43,51,12,25,1,2,19,64,74,0,9,2,0,33,47,12,17,0,2,21,76,66
andreas seppi,gilles muller,Belgrade,30-Apr-12,Clay,Quarter-finals,46,62,0,2,12,7,0,31,39,8,13,3,5,23,59,62,0,7,10,1,31,37,5,22,0,1,13,52,49
benoit paire,jarkko nieminen,Belgrade,30-Apr-12,Clay,Quarter-finals,96,44,0,2,13,4,6,30,42,16,37,5,15,45,94,91,1,13,1,4,34,59,15,35,5,9,33,79,82
david nalbandian,joao souza,Belgrade,30-Apr-12,Clay,Quarter-finals,49,116,0,2,12,1,2,17,23,18,28,4,5,22,47,57,0,5,0,0,19,33,6,14,1,4,16,51,41
pablo andujar,lukas rosol,Belgrade,30-Apr-12,Clay,Quarter-finals,38,79,0,2,12,0,1,26,39,9,15,4,13,35,71,70,0,7,4,3,27,36,9,35,1,2,19,54,55
andreas seppi,david nalbandian,Belgrade,30-Apr-12,Clay,Semi-finals,46,49,0,2,15,1,2,32,42,18,35,4,10,35,86,85,1,13,5,7,35,53,16,33,3,4,27,77,78
benoit paire,pablo andujar,Belgrade,30-Apr-12,Clay,Semi-finals,96,38,0,2,13,7,5,34,43,18,42,3,8,34,81,86,1,12,1,6,35,55,12,26,3,8,33,85,80
andreas seppi,benoit paire,Belgrade,30-Apr-12,Clay,Finals,46,96,0,2,12,1,1,21,28,9,13,5,16,41,79,71,0,5,5,6,24,36,14,43,1,2,11,41,49
marin cilic,albert montanes,Madrid,7-May-12,Clay,First Round,22,64,0,2,12,3,3,21,31,25,36,3,8,24,57,70,0,6,2,1,25,40,8,17,0,7,21,67,54
federico delbonis,albert ramos-vinolas,Madrid,7-May-12,Clay,First Round,131,39,0,2,12,3,0,30,38,9,15,3,7,24,52,63,0,5,0,1,20,32,8,20,0,3,14,53,42
kevin anderson,alex bogomolov jr.,Madrid,7-May-12,Clay,First Round,35,42,0,2,12,6,2,29,39,10,19,4,7,26,56,65,0,5,2,2,20,34,10,22,0,4,19,58,49
radek stepanek,bernard tomic,Madrid,7-May-12,Clay,First Round,26,31,0,2,13,4,4,28,35,15,31,4,11,35,74,78,0,7,1,3,23,46,16,28,1,7,23,66,62
marcel granollers,carlos berlocq,Madrid,7-May-12,Clay,First Round,29,38,0,2,17,2,2,50,83,11,30,6,14,40,99,101,1,16,4,2,36,63,23,36,5,10,52,113,111
milos raonic,david nalbandian,Madrid,7-May-12,Clay,First Round,23,43,0,2,12,16,2,27,27,13,19,2,3,22,59,62,0,8,1,2,26,32,11,27,0,0,6,46,43
fernando verdasco,denis istomin,Madrid,7-May-12,Clay,First Round,19,45,0,2,13,2,2,33,37,7,13,3,5,23,58,63,0,7,6,0,27,44,8,14,0,0,10,50,45
viktor troicki,donald young,Madrid,7-May-12,Clay,First Round,30,50,0,2,16,2,1,33,52,17,32,7,16,46,84,96,1,8,4,5,26,46,12,38,3,12,34,84,72
gilles simon,fabio fognini,Madrid,7-May-12,Clay,First Round,12,47,0,2,18,2,2,29,44,20,39,8,18,60,116,109,1,13,0,3,45,80,11,36,5,7,34,83,90
jurgen melzer,feliciano lopez,Madrid,7-May-12,Clay,First Round,33,16,0,2,16,10,4,49,72,18,27,2,3,25,88,92,1,16,10,1,38,51,25,37,2,7,32,99,95
juan martin del potro,florian mayer,Madrid,7-May-12,Clay,First Round,11,24,0,2,12,8,1,28,37,7,15,4,7,25,53,60,0,6,4,1,18,30,10,23,1,2,17,52,45
nikolay davydenko,ivo karlovic,Madrid,7-May-12,Clay,First Round,54,60,0,2,13,4,1,46,59,7,13,1,3,20,63,73,0,9,15,1,31,40,12,23,0,6,19,72,62
mikhail youzhny,javier marti,Madrid,7-May-12,Clay,First Round,34,173,0,2,12,1,0,27,39,10,17,5,6,26,48,63,0,5,1,3,13,26,9,22,2,4,19,56,41
igor andreev,juan carlos ferrero,Madrid,7-May-12,Clay,First Round,77,49,0,2,13,11,2,37,46,16,31,1,4,20,67,73,0,10,6,0,33,46,14,21,0,5,24,77,71
alejandro falla,juan ignacio chela,Madrid,7-May-12,Clay,First Round,56,36,0,2,14,4,0,39,52,10,27,5,12,41,87,90,1,11,3,1,34,58,12,29,4,7,30,79,76
guillermo garcia-lopez,marcos baghdatis,Madrid,7-May-12,Clay,First Round,94,41,0,2,15,6,1,39,55,21,34,3,11,39,101,99,1,14,8,1,44,60,18,41,2,3,29,89,91
andreas seppi,michael llodra,Madrid,7-May-12,Clay,First Round,32,57,0,2,13,3,4,44,58,8,21,3,8,31,71,83,0,9,7,1,27,44,13,27,1,6,27,79,67
stan wawrinka,olivier rochus,Madrid,7-May-12,Clay,First Round,21,66,0,2,13,14,1,36,41,11,21,2,6,32,79,79,0,10,2,1,35,52,12,27,1,1,15,62,62
alexandr dolgopolov,pablo andujar,Madrid,7-May-12,Clay,First Round,20,37,0,2,13,10,1,31,36,15,33,2,5,31,76,77,0,10,0,7,25,39,20,37,1,3,23,69,68
gael monfils,philipp kohlschreiber,Madrid,7-May-12,Clay,First Round,14,25,0,2,19,11,2,52,69,19,39,4,8,38,101,109,1,15,3,2,47,63,16,38,2,6,37,108,100
nicolas almagro,santiago giraldo,Madrid,7-May-12,Clay,First Round,13,53,0,2,18,11,3,36,44,27,38,3,5,41,104,104,1,13,4,3,48,69,15,35,0,0,19,82,82
ryan harrison,sergiy stakhovsky,Madrid,7-May-12,Clay,First Round,61,82,0,2,14,7,3,51,64,13,32,1,3,31,85,95,0,12,1,2,44,63,10,22,1,11,32,96,86
richard gasquet,thomaz bellucci,Madrid,7-May-12,Clay,First Round,18,69,0,2,17,8,0,50,67,21,38,2,8,38,109,109,1,16,6,2,44,60,27,49,2,7,34,105,105
daniel gimeno-traver,victor hanescu,Madrid,7-May-12,Clay,First Round,137,103,0,2,17,7,2,48,60,26,45,1,4,35,104,109,1,15,7,1,52,74,17,30,1,8,31,105,100
fernando verdasco,alejandro falla,Madrid,7-May-12,Clay,Second Round,19,56,0,2,18,3,4,51,69,15,32,4,6,44,109,110,1,15,4,3,44,70,21,39,2,3,35,101,100
alexandr dolgopolov,andreas seppi,Madrid,7-May-12,Clay,Second Round,20,32,0,2,19,15,5,39,55,32,61,4,8,39,100,110,1,16,5,1,40,57,21,43,3,8,45,116,106
novak djokovic,daniel gimeno-traver,Madrid,7-May-12,Clay,Second Round,1,137,0,2,14,7,4,35,40,14,25,3,12,36,91,85,1,11,7,0,37,57,18,34,2,5,16,65,71
janko tipsarevic,federico delbonis,Madrid,7-May-12,Clay,Second Round,8,131,0,2,19,13,4,54,66,20,39,2,5,35,107,109,1,16,7,3,51,71,21,36,1,1,31,105,103
gilles simon,guillermo garcia-lopez,Madrid,7-May-12,Clay,Second Round,12,94,0,2,12,5,1,25,27,14,25,3,12,33,80,72,0,7,3,4,25,37,22,43,0,1,13,52,60
gael monfils,igor andreev,Madrid,7-May-12,Clay,Second Round,14,77,1,2,7,3,0,13,19,9,13,2,2,10,26,32,0,3,0,0,8,15,8,11,0,3,10,32,26
marin cilic,john isner,Madrid,7-May-12,Clay,Second Round,22,10,0,2,14,7,6,32,42,31,46,0,2,27,87,90,0,12,14,2,40,54,20,33,0,3,25,88,85
stan wawrinka,jurgen melzer,Madrid,7-May-12,Clay,Second Round,21,33,0,2,12,5,1,21,25,17,22,3,3,24,54,62,0,5,1,0,17,37,13,17,0,1,9,47,39
tomas berdych,kevin anderson,Madrid,7-May-12,Clay,Second Round,7,35,0,2,12,11,2,33,40,9,18,2,3,18,50,60,0,7,7,4,23,32,9,18,0,3,16,58,48
nicolas almagro,marcel granollers,Madrid,7-May-12,Clay,Second Round,13,29,0,2,13,5,1,25,29,19,29,2,2,20,57,64,0,9,2,1,29,38,8,19,1,2,14,58,51
juan martin del potro,mikhail youzhny,Madrid,7-May-12,Clay,Second Round,11,34,0,2,13,6,0,40,53,11,23,3,8,29,72,80,0,10,4,3,26,41,17,31,2,8,25,76,68
roger federer,milos raonic,Madrid,7-May-12,Clay,Second Round,3,23,0,2,18,7,2,56,71,21,40,1,2,22,91,99,1,17,21,1,49,57,20,34,1,8,34,111,103
rafael nadal,nikolay davydenko,Madrid,7-May-12,Clay,Second Round,2,54,0,2,12,6,0,24,30,9,13,4,9,28,51,61,0,4,0,5,16,28,7,23,0,0,10,43,33
david ferrer,radek stepanek,Madrid,7-May-12,Clay,Second Round,6,26,0,2,13,3,0,31,37,14,22,2,3,19,57,64,0,8,1,5,27,37,11,20,0,1,14,59,52
jo-wilfried tsonga,ryan harrison,Madrid,7-May-12,Clay,Second Round,5,61,0,2,13,4,0,36,45,8,13,2,6,26,66,70,0,8,4,3,35,50,5,16,0,0,14,58,54
richard gasquet,viktor troicki,Madrid,7-May-12,Clay,Second Round,18,30,0,2,13,3,0,25,30,19,23,2,4,26,68,70,0,8,10,2,32,45,10,23,0,0,9,53,51
tomas berdych,gael monfils,Madrid,7-May-12,Clay,Third Round,7,14,0,2,12,4,0,21,23,7,9,5,6,24,39,52,0,2,2,2,9,20,6,19,0,0,4,32,19
janko tipsarevic,gilles simon,Madrid,7-May-12,Clay,Third Round,8,12,0,2,18,14,1,40,55,23,30,3,14,41,111,104,1,14,7,4,44,62,26,49,1,1,22,85,92
alexandr dolgopolov,jo-wilfried tsonga,Madrid,7-May-12,Clay,Third Round,20,5,0,2,17,6,1,42,59,23,37,4,8,43,111,108,1,17,12,2,47,71,21,40,4,9,31,96,99
juan martin del potro,marin cilic,Madrid,7-May-12,Clay,Third Round,11,22,0,2,12,6,0,29,35,12,22,3,7,31,67,72,0,6,4,2,18,28,18,39,0,6,16,57,52
david ferrer,nicolas almagro,Madrid,7-May-12,Clay,Third Round,6,13,0,2,17,13,1,56,79,22,46,2,6,44,121,122,1,18,13,1,55,71,22,50,3,14,47,125,124
fernando verdasco,rafael nadal,Madrid,7-May-12,Clay,Third Round,19,2,0,2,16,5,9,39,63,15,38,7,10,40,83,94,1,14,7,2,31,55,12,28,6,15,47,101,90
